Lfd. Nr.;AHB;"Beschreibung des Anwendungsfalls aus dem AHB (EDIFACT)
API-Webservice (API)";Prüfidentifikator;Reaktion auf Prüfidentifikator;Prozessbeschreibung;"Prozessschritt aus 
Kapitel";Bezeichnung aus Sequenzdiagramm;Prozessschritt aus Sequenzdiagramm;Aktion;Kommunikation von;Kommunikation an;Zuordnung zu einem Objekt;Zuordnung zu einem Geschäftsvorfall;Erweiterte Zuordnung;Objekteigenschaft;Sparte Strom;"Sparte 
Gas";Übertragungsweg;Fußnote;Meilenstein;"Kommunikation von : 
Auslösende Events";"Kommunikation von: 
Lesende Schnittstellen";"Kommunikation von: 
Schreibende Schnittstellen";"Kommunikation an: 
Lesende Schnittstellen";"Kommunikation an: 
Schreibende Schnittstellen"
152;UTILMD AHB Gas;Änderungsmeldung zur Bestandsliste;44020;--;GeLi Gas;Kap. A 7;;;--;LF;NB;bei SG4 FTX+ABO++Z03 dann ZO-T1;"bei SG4 FTX+ABO++Z05 dann ZG-T1 

bei SG4 FTX+ABO++Z03 dann ZG-T4";--;--;--;X;AS4;;X;;;;;
1042;MSCONS AHB;Messwert Storno;13006;--;GeLi Gas;Kap. A 9;;;--;MSB;NB;--;ZG-T32;--;--;--;X;AS4;;3;;;;;
153;UTILMD AHB Gas;Antwort auf Änderungsmeldung zur Bestandsliste;44021;--;GeLi Gas;Kap. A 7;;;--;NB;LF;--;ZG-T1;--;--;--;X;AS4;;3;;;;;
147;UTILMD AHB Gas;Anfrage nach Stornierung;44022;--;GeLi Gas;Kap. A 9;;;--;Beteiligte wie bei Ursprungsnachricht;Beteiligte wie bei Ursprungsnachricht;--;ZG-T26;--;--;--;X;AS4;;3;;;;;
148;UTILMD AHB Gas;Bestätigung Anfrage Stornierung;44023;--;GeLi Gas;Kap. A 9;;;--;Empfänger einer Stornierungsanfrage;Sender einer Stornierungsanfrage;--;ZG-T1;--;--;--;X;AS4;;3;;;;;
149;UTILMD AHB Gas;Ablehnung Anfrage Stornierung;44024;--;GeLi Gas;Kap. A 9;;;--;Empfänger einer Stornierungsanfrage;Sender einer Stornierungsanfrage;--;ZG-T1;--;--;--;X;AS4;;3;;;;;
150;MSCONS AHB;Messwert Storno;13006;--;GeLi Gas;Kap. A 9;;;--;NB;LF;--;ZG-T32;--;--;--;X;AS4;;3;;;;;
151;MSCONS AHB;Messwert Storno;13006;--;GeLi Gas;Kap. A 9;;;--;LF;NB;--;ZG-T32;--;--;--;X;AS4;;3;;;;;
154;UTILMD AHB Gas;Kündigung beim alten Lieferanten;44016;--;GeLi Gas;Kap. B 1.3 Nr. 1;;;Übermittlung Kündigung;LFN;LFA;--;--;--;--;--;X;AS4;;3;START_KUENDIGUNG;;;;
156;UTILMD AHB Gas;Ablehnung Kündigung;44018;--;GeLi Gas;Kap. B 1.3 Nr. 3a;;;Ablehnung der Kündigung;LFA;LFN;--;ZG-T1;--;--;--;X;AS4;;3;;;;;
